variant_id,item_class_id,item_name,material_type,food_base_name,quality_level,weapon_state,weapon_type,page,sort_order,embedding
food:100001:normal,food:100001:normal,苹果,食物,苹果,0,,,食物,1,41vfvHitrb0URUg9RczgPNH4Pj0XgaU97Z2gPZfP670d/Qi9zxC2PRM9K7288py95EmjPHnKhDpwQIM9MJgnvg8D3zyLUAk9nSODvF3q7TyZN3s8CJrOOm6sNr4w55C9U4ODvcVuNjofdva8YBHIvKx1wLzjbSY9Y68VvPuxqb0H1E+9zRMOPqyfqD3kqca9/dgNPY6xcz0R4Qq+j8GivUV/Ij0Q8ne8mMw2PuS7G7wfj9W9AhvGPDKpmTy2l089DAPlPYgEZj1hQ6Q8ZVfDPU9pT7zISPQ7ltz6Pd1YxLtuGaQ8CaFIvQrLQT269Ai85MM5PYBpZrwvXU+9CeV/vV2GhTwrWyE9/ZNKPbmsKr1bFQa7UJ20PXiyTr14Hpo8JQVnPRgPvLzaEYy9qJQ5vDZqSbxG4gs9ho8mPf0xf7yPjRM8PSalPUhxsDz3JSq6BKvdPGVAIj0NJNQ8lQCnvCVvLzxhSV29aQQRvjJ1qL3ExzC87unuPSSApzwqmuc9U5elvDThFj6CTP89mhu4PZNfJjzblJ295sMnvU8kt70bkce7Wh9APcXKuz3NSZe8PXjEveNEkT27HFe95EmbO/rK6Dw65YU9k715vDwf3T1mNDo9Io6WPRHnY7yldQ49WvG0u+Ln4DyfQZC9/maKPepBD70uRaU9IMsivXVVyr3MMeS9l8RcvLyInTxXwC+9vuy3PNJwjT24KHe9yfzTPelSWL0hBCm9wiMwvWPZbD01Z6I85pAxPXOMz725wLk92s6+vE/8FL3gyO88lc4cu7plVz3rbxw9w0AUvbSPRruWWZe6DmcbvQ7NkT1wBxk+mCiAvB1RcTyjOT8944RUvSX/SzzOwEo9LxoovVhjXD3TQE09MeIAPgr1lTyin6q8Zp6uPLyTvzy5cxW+ftk7PU+98TyL/hO9OKwSvcPQOb3vhS6+9zeSPA6ugz2uGGQ93pA0PVkYhD380M88HJVMveNobr2KvC89GzMrvM3MiLzE64q9je7DvD9owT0Z/qc8r9qqvOSMqj1EPoe9rHdZPYiIijy6z4k9JcnRvDnpiT2l2Q29YOKjvS6r7TyVPQu9mQX7vVReZr2jnNq817bsux1mZD2eU/A87sA/vdRqnb3C3eG7jWlFPeEqQr3NzPW8yThBPe3yxbxJcAK9bH2IPLpfnj0FMR6+7AYbPTDpoTzeJhG8KnCoPd6HYTwwWYG9U5hfvRCTP70/bbE8eEAZPKZBlT2B6Qu96tycO0AeE70jY2g84JinPdZ1t71cKg88jp2JvWlRHrwsxbG89gf3PfBhUr3Z7/A9SRKcPckxjTyntrK8tDwXvQTpr73rWnY8cAMJPZFBCT7Lz3m8yJUZvQ==
food:100002:normal,food:100002:normal,日落果,食物,日落果,0,,,食物,2,Pb2ZPR5m1DzHUFa9XoctPd7Ux7rdD9o9I68IPDWseD3oHwW8Z+FCPMDclbtkojy9bZPhvKJJ6byZqMs9gA0JvQ38Xzv9e/a8nGb/PMaKQz189sG9tNjtumz2Pj1a6Aw9qSkvvSf6kD2fEYM9aocoPQ/kmrwjkJ88T6LvvAAdCj1PMhK953tHvQqoqr30AgU8WylgvFEF+L2TrHq9OTDuOizRUD11yDI9WTDcvRJhLj4ibwo+wOU4O7qGij05mC+9jsuOPRv5or1BffQ9Wv7BPK+plL13NDC8/+W7u0wfAr4I8kO9DH2NvBjAxLxa3FA9kLwQPe/1B7ylqm89kzUIvUsMjrz2skc9By8gPZUo3j0XPEs90oE7vRorQj2tbNk85KphvcxkCbysy8i88WVAPTo46ToK2To9MpAdvZvPYjsr8rA9UVY/PVi1OLxOPH87MUKuvTYy9Ly47AS+wvaRPHeokD0hW+s9QQdXvf6H0TzjZXe8ex9bvLrj5L2IldE9qu6wvMPk6TyHbYK9GN7fvbMVxjwyFWG8nLpTvW/p9b0Tnr68sVQtvc4EUTstonE9CiPavc1ci7yxwNy9cCegPQw+DT2rWL49hqN/vfFWprxW9Wi9N19IuyjReL16G6a9N5scvHi2M70OK8W9R1yqvI6wg7x3smO7GnKKPVpfjj1A44a7ZKiUvcTr4j2/cxO9L8xlur6ikLzP37s806ZvvTWwq7wOkDk8afmbPYsqCT6qSIe9/HG+vYuzojwhRuK9kJT7OzI4rjzvKOy8MBXAPSbEnLyS5J+9K0iOveGH/D2jXYc9J8t6vVrPmL2q4Ye9B3mxPNKLwLzaRp48M6c3PA6Iuz0BPAE9J3NGvc75eD0bV5u8k3P4PYxVr7xVOuQ97jbkPHKZqryWJIY9GhZUu6BP3bwS7hA8zn8IvDWoyTxqK5I8mDunPXL3Tz24QrM7A8oovLMwtD21NxI+HZixvbDvqj3Qbak8crtCvJabkLwYEiy+uKUzPSR82r3VDf481EP7PHNfkbq52L+9WUZkvUwchL0Q+na7bhqzvKKGHrzQCt49zSgSvkUL/Dwd8HO89ujcvZ9zQj34cEs99jjyOyuAVzzq0ZG9xNiqPMHkZL0vu1u8OSW2PMORwL17UjM9GYs8u5HKRzwAFqu9o4HIPFyUrz0nzPo8XQQDvWn7IDw4ZBu+9SiEvd9+qTtPlRO9iScAvAr8mj3w6908f68mvTNp+ry6apk8MGPsuz7elr0III68UxIfvRTcpz1lUS89WDUtvi6LWL05oIO97ndlvb3Ljzvf5cQ8FPUXvnjrXT0SQdu9MB+AvYMKmz3pJrK91SmvPejobLsgVwk9rFYePQ==
food:100328:normal,food:100328:normal,「强水」,食物,「强水」,3,,,食物,33,zrRaPM0wSj10eoO9cEHFPUfecz2KPeA7mU97vRkigT2cDpC9lbkSvSe5a73caHE90iWvvVW4dT0HpUE9uASgu0udOT2H9gC9wU9CvcChDbwp2wc8CM+VPN5LKD0JVwo93zmMPeorBL6Crp+84TJ2vJ0RUT0LTie9/YigvQ3urL2lakK8WmfAvED8C70exxs9n1V1vIgRGr1WgYE87P/0verqs7wd8wA+l/FLPAL2Jr3+XwC9FmYMvq+9bbxoIkw6rc+ivZgtbjyD9Co7Ce9KPd1TN73u0HM8+25fPA9ejTwD11W9/LWuvQK7oD0B68a8fqDwPLQPlL2KGmy9pc10PWYcRbz7VbE9viMlPipn9jxxRZS86HMMvahUrD0Y34Y915IjvG6Ltz1c3c48MUuAvai4Z7zlQR29h8aBPCHqs7w0QrA9OOD7u7Np+bzK2jQ7dho/PWIrprxb5Q69FH6zvWmhNz1Bhd68nJPTvKPHRDys0bK8n8XiPDD4cL1OIIY9W02bPZAOqr0rz0A8LKPxu+fWprv63548isYHvgGTpT2ex+E9C4LnPVuDNL72qqy9NO44vXpjZb1y8/U7Du0gvarOXT30qoU8Ujj5PPWZi70oflQ9wUU+vX5zBD18eGs9SnbOPJs6ZL2khGS7bZKGPTwHtD0VqpO9cTYEvHGL/zwmk3k98GzzvMJyL71uvm09MzRoPEu4jr3Nygm9hcr3O5LBRL1Cvt29Qvq0vYwjDD6jk4w9OTeAPnzfvz3I7JI92PJEPRmQ7T3kZ4c9Qi+zO46wgb1jdIu9nU3BvY/uQr04tEC9js3rPTrpbL2gtGO9edooPWx9E7yYsdO9EkMSu+dZCT1unUo9EiQGvcYPBj1WNto9ish1PB7h0r3tcUq9Tv1auxNiSzwasTq9Z+A7PYg1LTy1+D88Bx4pvQ8qob2KbDG987lfvYdHcj0z4ai98uPGvO+1Vr1DEU48iCQdvkEEPL0cYWI9GijIO2Wt2jp3T5C98B64vbIqlL0o8To9OKYzvW0aCrz5qKS8JwYUPaXrnD299gm8nznGvWz9aTwZ93A9O3GlPK+L5Lwroau9CK2MPQXhHT2xu1Q9YvyjPANUErynFpe8FhGyPTpoRj2A7Xc9D3OEPelomD28ty+9Jx+dPQmVyrxSK3Y9Zo6BvWTcyz3zhpK90vk8O5EyE72z2wc+4NNmvc4/QL3yJ0Y7ThvQPGs/az12LaW6nfyEvcVYvT1LRy486koLvbAfoD1ZlhK9KC8GPRDdKb0H7vk9FZG7vDKYIr7odLo9+RYCPMUbFD2RX/A8hHNbvSD9Wjzb+Ow82QsrvcZ6lr1jklm8cVqnPWFrb71PGa07k5P0vQ==
food:100428:delicious,food:100428:delicious,美味的杏仁豆腐,食物,杏仁豆腐,2,,,食物,809,bxbCvfS58DxXNTA+071vPaqUDjyDs/o8MlDzuMQoKb1xMjE953EhPXa9ar1eFVA9RTirvY5a0DonxcY81AxqPCN3N72ifBw7z1ZXOoHM6rveDnO9aIgNPvsK2b2YnWs9n1OIvQWcN7zh7rW8Oxs6PY3XyLxwVoI7q6enuzFXrLzDHSu+ydmEPWGhDb0D34y99VOSOqFuqL2p2Ho9Ew11PXaaib3hBRq+oX2FvQWt3D34K6y9pLmHPN8wPj1owoM9pGpOPaKjgj1yzrU8Tbc8Pa9drbz9GcA8kmkvvJIHOL2HTbs9OtXlPFjIk70h7Sk9AsmVPDTEQb5rQnk9/cQbPKpOzr38gzI8k/Y2vV9D6L0W3aO9gIqpvY3AjL1LcAs+qIpaPWuuULtGhZ49t43rvADycT0qETE8KN0GvcJUzrwyc9u9Q7qmPHAzS7yP4Ts8RT8yvi61NTzedZ29DIsdPdEmw72WXPe8L1Etvaz2uTuTco49ktBevc5UGT0vZRw9ICljvFdrdb1/eIs7ZewSuqTAyb3oW/s8cQuovDeHx71poXK8mFm6vWtelT0/imW9cmT7PdXslrwH3W+9HO1ZPDRfKTwUNcK9ZBDPuge1h7wYqSK8UzZvPV16MbzseEw7otTAPJtCrL1PaAI+NSCbvTHO071RDAe8+09RvW3mJz3ZbqW98IirvDrBXD2mkJI8fRVJvV1zgL0KduW96UM0vfUKq71vCtg8JwiVvXySw7zKOUE9dYGpvTqgRD0iyYS8ThVqPTGzjb12QP69gzQEvYexAj2+5Q28ME/uvUUmkDyGgSu8SxDjvA58B774m8S8PwmXveni5j3xkJa9vCgNvZJP97y4d/G9Z8qUPJ7JjD2FRfi9NJ+AvQETxTvXdR09rY5fvR/IpTs49SM9KTzKPDttxTyU94a8Q49ZPQAFZD0Bpjg82PU5vfewsrxMuuc9lgCrvYkZG70OEQc+JlG1vTxwUTwzLzY9TSdHPYukg71m2BI9aETYPDrFPz0ZSuA8pvM6vXUMjjvwf8q6wXYjO1tkl7zXq/080kZ1vWqnWr3aG8a874OUveT4PT1YVbe8K4zJPBEDGz1XI6y7E1HUvMlGsb0dJ8S83abdPPuUoj06qE07YwwvPb90672iYwS8UmMdPaalmjy1Zpk8/fyTvHdtVrtMX4e9QsXIvVpiojz0QEo9hnKdvRaofTyHfnm9kha1PCTBCb2ZDI47Vh2lPcEGUD1AKtS94YWSvZ0Tl72nNpu8kkUSPgSIJjtETkA9SosYvR3ugzzgal09ahDxvYDQHr2B9GE9384EvVh4wTurC/e8KSSXPLOtZb1+0Og8LwgTPWFvGr6gI1g9OMYBvA==
food:100428:normal,food:100428:normal,杏仁豆腐,食物,杏仁豆腐,2,,,食物,808,wepZvDgzILxNrVo9KAE1PZ0hWj2WcaQ91St3vcKSwLsRYtS8HEcVvbBzzLxyHww9YzWMvRu56L2Y7P09Mbs8vaW+3rwxJWQ9js8YvYwJ/zzY0nm9YbIQvECSCb7kgvu77TXavBXPTb0QTuW9OpiZPachebxDfJ88jwNbvVdIC72JK3K9oLADvQeY1Dx8lUu9JevaPOmbu7xk+Mg8YbDyPUnztzomLvi94/XRvbanXjz36DW9z3B4vYg6yD05e7U7e68NvfTI9Tz2xok9N1yLPHgiBL7Hie+8E/XnPNJLczzw7aW7jLhHvTzOrL3TJ0U9gFM3veAmnb0a/M28UH6LvMdGwL2kGT+9s32xvdaA6TsjU7I9gBamvb2Gir0VDhw9K+zHPbUyIz0BEY884234vGd2vb2Xc8U8WJ8qPRGInTwcqgO90oWUvSNsj73Toyg94u6Pve/ErL3FH029cYK4vXezUr0whyG94omNvYrFID3MnUY9O74TvlzHiD04/D88juloPVnARryO6J+8lhdUvMcNW71S+hm9ddpUvU32ID1u2Ri9+v+wPHQGpz0AiXu8j4ervUb8cLvk+tW9MCyHvRqTHD3fMgS9ifG+PRpuwbxuACQ9pUK1vMbhprtB+8g7kAegvCiJt70yNHu8cTgnuyHFSr3Ld2w8HxNYPCrtiz14Dy89Jg3gvf7ynj0BzMk92beVu7ktAbwW4Zi7TL1vvTFaIr1flA29IXDevH6dpz11bEg9+LO9vRBh8zy8uru8x71avEhJwb2jvom94x47vaFJYT02BgC77o2ivVqCrTiLx1k9DIaEveg7rL329Lm8LIVLvff1Zz2DK/S8AK5dvflBojtqvqm9v2vSvVcsmb1VziW7CUtzPMCW17uNIt69dSUgPfiJ8z1pMoW985+pvDrXRL1p1/g8+Li0O1vZxTxrIq29oxsDPaDnEb0EB8k9ZkMPvlDZYD2uvd89zFMkvqt+zrwzjBM+xW+4PO6SBLzodgm+IANYPRouRr3GVZe9XIwpvfwZ0r0lhfe9XQdFPQjfQLz2qKs9EhUiverIsL0YK6E83jsBvQMWDz2S73+9bmoJPRSHdD31dJw83fbzvEGKDL43+Me9OvwpPY1Ta7wZrqE8M3LjvUvZnL2DUUQ8i/BDvINGmr3zcYe9Mp1VvfGviT16BE87tnE3vVwnujyIGrU8xN8HPXFxML1hhiC97ACfPeqjhbwir8m9v3wsPeGYoj3tmy693PUivSgA2L34oYA8sjm2O7mwCz0ZiLE9iLbpvRsaBb5uZa49D1yVvTLevL2AOqQ80Dk5Pd6pUT3bB229kOLivSRanT0bIh69ynIrPUSWzr2xHBg9MXFrvQ==
food:100428:weird,food:100428:weird,奇怪的杏仁豆腐,食物,杏仁豆腐,2,,,食物,807,EWesPMcH57sD34c9Jw6EPXVuaj3WJLw9WNxEvRWrerw1nMW8IQ2DvXAp9rxVxEc9vJbyveclir1v/TY+3TYlvUhqcr2aCL899aqwvG1SWT2s+1a9+RcXvOtrx70eEwa9GfOrvAePO7yaYtK9pTHpPLGbGLxxGxA9Z4h+vF5+ZjyDOJS98oyjvX2I7zw0F3u8ujRMPZobljyH2EU9gmnpPUempLsoEQW+4NiHvXh1zDy0HCe9VPEdvRTICj4jUPE75tR3vXnjZjxZWkk9/iMVPYP1z70T92i8qy+rPDs7u7iXgYs8TULqvH1Ki71HxYY843mBOQ//tL0LiYs7gFnwuq9Fr713Hg28A6eIvYm8rLqzl2k9zgKKvUQ9gr1rbns9DXfQPVLCYz2hzyg9Z6zSvLkOEb1luIk9sjABPYK9Vj0jHFi996mUvf0tsb2f2E09fqNqvc+ypb3eMFQ82528vYP4Yr2nyxG9HKaFvaHQdTwrz5Q9UnULvlE2iz3oJCo9crGSPfm8Fz1DyHs8eb2ZvEz1jb2RUPK8dV+0vYDtUj14E0K9zr3fO5pD/TyuIVO98BqvvbxhNzyYE9u9XSuIvbGaFDzozYK9CXUDPlPZ3bxO0ew8tLQGvY/0hjxo+YA7ty0XPMGZfr0rv1M8hXW2uVdVd73rf6e8dYaLPM1qVD1aP4w9sTOcvT+PZT1FGco9FowAvB3mDb2U0Au9i2n7vC1127zUM5e9/Gz6vB7cAz0LtYA9gLrSvcdWhj0zXSc8X1PdO10c6r3mtqm9+/dDvSGTmjyykQc98F2WveRmY71rl7A9o1wvveDEhb3lPHu9yK1TvThahT0vgqY66GxqvdWB+jwLe4e9ZvWjvQQZW70oYim9pe2SPJYYlDoqvse9PWfmOom6DD7k3qC9UettvefRALyowKY7bqq2OtgeizwcTHC96Ju7PNPGArxh+nM9fDEEvsesWD1mW/I9Jwgfvnme/ToCDvA9Bk68PBwcq7zwUuG9b8SIPU6GiL0b/2y9sy8XvWS0F75OO/O9hk3ePTsOvbsgwrw9jBUavF091r1EqH49JaQBvcCRDjzT9GO9FD1OPT1IhT1eTQ89djzSvFlv771gV2y9ux45PXXdgrr/nzk8k4hrvc0ne72ojOW5cueOvMzGVb3gnlS9QchTvTrLkj0L74A8hMBfvZHmKbzyvco8VjgNPDgUT71nOsm88QXcPeCacjzATfe9fQSGPWbvvz2BJu+88AUEvPjvlL3ZMNU7qSbYvLslqTxzNVs9rosFvsBbA75nc+w9rkasvT3TZ73fQ648d3d7PDxjYD3CGou9F2nOvULlhD3SZ5O8BQFKPb1OxL3lFtI87ASNvQ==
food:101212:normal,food:101212:normal,星蕈,食物,星蕈,0,,,食物,3,17WJPEwZCb0io6u9uxRbvDpMnT0QL2k9gXlqvKy9GL4wHAY9kT/4PQiPvz3uv8s8+TDrPNHnmrxMlBe9k6QSPFBdIz0JC8U9D5MWPJWj+zzHnAu9SjfOvfl0ET5jsMk9oIClvKX7TrwoqF89uRS2PdsRDTzONvA9KNSMu0tYKb1fMJU9Z14dPUDjhD01pHK9nXirPfh+dD1KwzK9LuWvPW83ZT20kQo9dU+wPZRakD15yfs8320mvRN7qzqRlTA9/7trvMnYhzr3juG7BhmjPeGQ7bve88+97QI4vKWvI73BD769dRu9O8pHAz1ihpq9sPPlvB1XPT0u/Vu9Rxu1vRTEpjxozkK+5Gq/vanyJL3JxIk9KoNgvaiiT728Yx+9eI8KvkQYITpGLQ++8UGdvcmGQL3LoQk8bEK1PehzaT28i529lJLRvbAQUT3eGMo9UlsEPNpwmb1ts6a9JqTkvGWEor1KCh28iTd1PU4btL3c/Yq7F6ROvfuItbv+Szw8sY1cPUMOZT0IFji82k8pPGBQpb3fS5A8m0pUPa3HLj0jcBC9wjb2u1Cktz0gSZ68tUwjvK1EsDrnC4Y93LEEPraBaDwjnBa9F5YAvnHytjyBpUA9OrIKvbmqkryFS5A89N3MvEsNzr2M81g8QQsFPdNUfL3BqiU8rIXivESp2D0SMJC7VZhfO8xHiD2lqdA89riUPIn07rsWEnW8y++5vU96Bz2+QYm86TYNPdnAH7ypWMC8XTs3vZkBP70wjmK9FxtdvY8GJr3obLo9NJQBvoojuz2RZmS9yICtvN9wcTx58ZU9noZyOz9aXzxC7eu7F5JwPCY0U73Xbh8+AE+vvQBXRjxb8YW8nqgJPR4lF73tZUS9cniBPDqlx73fpxU+YRDkvftmgT2XXAa9lvKBvCUxGzynHAQ+Z8wbO3kumL1fwEu7tX7cPQOuKDy5QF49hI7VvRpiID38Hqe8tKKXPD3/EL5/myQ7zOaPPHEe6T222c48fEF/PGHfur0+WFY96BwWPu9gPzxiWwG9gNE1vCzfYLyuKVG8nXhqPQPWdb2FtmW9g4/cvHcpd72k2DO+cPyaPLaBo7vxL2+84+tWvcXs0b15Awm+kcn+u1WkNL0c49S85X0KvaPF/jtyeuM9GOg4PXaGg70Tj4C9IyskPHVldrrN5Ya8JuVQvCxkyD1pQFM963wFPcgGiL1FvW+9jvhxvRJjWTyRyvQ8c46gO4oyJb1Py2G93gdbPD8Lmj3Yqqm9GbCnvCOzAz2o28q7MZ/vPAsIe730WUS9PJX+uwh8nbxeChe9wAlZPUN17Dyd1FG9sHqavG3lsDyQL7E9HtIGPY2/Nz2IX5A9o3D7vQ==
food:101226:normal,food:101226:normal,活化的星蕈,食物,活化的星蕈,0,,,食物,4,eaABvT8wvTzkDL+8VF7cPH/B+jy6frs9KPDSvDFP570qpZ496wgGPgbHJj2zZM25xc+xvLSSZ7w7Oe68+6YRvRNuAT0ZaVI90f+RPdkLET2s0A6941mjPAOk4j3DOA8+InX4O02TYrwl8A09ckuOPWqIrTxGg5g98MsSO/mRebxc38y8gpuWPWRpG72eL2u9d6aFPQFE4zwziMA85IdzPAligz3CoRo94MnePYPoFz4DbZ28q71EvduFdbx/HZA9nDABPdTTiz1oftk6ItqKPd6DRD3pPsK9BFsnvW18sb2+0oc8nc+HPIkZtbzXz4m9ROivvHVmZr3lDZs8hJRvvaozZTtUXDC+ctAUvWveKL25EvS7VIeQvcOUwL0bUGK89BWjvV8LBL0+XM69m9GsvdDEuzy4yR89UycpPTOqlD0jmV69AzftvW4rxTxyoIM90nq9vVHSMTvsqtu9wu6MPHBkGryHFZm94OZgPZW7P7217So9DhVKuwW6Zzzl7Kk9wARQPZT7W7tPoyK93KKSPUgn7L3//HM8iT7/PeFkXL2HPye9E1mXvYTwrz3GOpq9JnM+PYaluLzEp5g9+8YpPlquoj15XY696F8NvuLaf72jzxY91CXmPDXBN72x3wK9JVJqPdFVcr1a2MY9sVKMPV4DuL1eP1q9N1TivZJGjj0BXb68bKmPvJ/TED0XL7y8UpoOvAjE+LyoCVS90yhQvRpNKL3BC4e8t60Tvadap70QNAY9J38FvQ68jL3XYzQ96NoaPcEWNr2FyNw9tBn8veH6VT2qnIa9d7sQvOPDmLwoPQK71+/ZPXM1Hr3v9R28RU3gPPmnzbxCUIo9DsJSvZu/vLsyilG9elSqPaO/8DwXNOa9DjAqvdQghb0rYU8+WG8jvs3JhDxo3U+9NOmhu3P4oT2hqA09MhtnPRj8ojvrygg9D05aPRrSKD1uhYs9MBTAvUCID71LM+g8p86iPfWd8L3tFW08Up9Xu4fH/Tw7Ejc9NRlLPTNXvr2Qlgw+NGDuPT0ufzyRlM680G7GvRyaibsS2HW8NIFUPTozZL1qV529iA2pvBCg37wnaN29sXUivHG1QrzFF0C8icBDve8Eg71EEcm9UVv1vFfqjbzSyi680znwPXx9nzxwUbM9/IfEPRzc3rw9JEG7fOgwPRXlyDn7My28v8wlvasbHj0WCJ48s7SDve6ZCb3mKby91qvCvTT7D7zcgqY8fdmkvCpJALko+Ie9fEiYO+K4Tj1dsKa9jvL3uxl9lzw0zKO8D9QJPP5aoLyEH2a9qAjHvdp2MbxkgM297xnEvJRR3biiR6y9lnsuPaVZObv/8oc98x1SPa6WiLwqi2A9Z/ctvQ==
food:101227:normal,food:101227:normal,枯焦的星蕈,食物,枯焦的星蕈,0,,,食物,5,uM2GPW6tO7zpdxq93ZAivQLZFj7M8H49GyphvefXpb2YdWc9nCpdPQdGhD1PcEa8HekcvNUJbr37fMc7fVE5PPYMgb13FYI9aNtVPSWm5D19ksK9yszKvUfDtz2Y97w9hU8/vaB3xr3nmMK9RBUJPfAFwzw8w5g9oEgdPXymorwCxaM8M8wCvsazB7yTNkO9DKxyPWa+Fz3m4da8fQKVPUVFjj2vem87ehq3PejJhT1ucZI9EoDOPKS4GTsUMVi9tmcJvuNmMT3wbr49tiG3PGGccbsND8m89wDvPPZb0TxdY9Y63hcjPJaMEr3pmwG8evO5PM+VbLw1Pv070NiSvfTFZbwGP9e9kVqpvEC/Bb0ewOY7vX/fvUdu8735qa69g1jBvdhiLb2oIRm+Q1mqvNCb1DwKYf47ZKCWvCifjz2CbS29qVo/PcuwmLwEYp48v2POPCRZDL0ZfNU8JlxAPDeshr1XSsS8kE8qOtQ2Dz13i6e979SuvOjCgbxytXu7dXFjPXoG5D0LJTO9JeCNPFsaDDwu1U+9/WwcvA3c6jwiI9W87OzTOlBOuj26KRC9/Swlvcy8fbxZ5lI8TpIhPhqjQrzRYxg87vkivt0Wkr17TNo9bUWwO1jTqLzQQta8R4NKPWTOlbxP+909few1vbPW3Lzva0S8vWiEPIZo5z1b2hE9lGEnPGOGcTyNV2G5feGXPciUKrzwPAi9wyTfvSWnjj0rN9u87O0nvSo+4zwqYEc8juAGvZM8sz17G7q9NAZDvfkhVTyC+dC8ouMuvkOe3TuJZoy9Am6vvdjZiD0gyS49q35avUMU87zZGxm9wVrDO+yForxrgaE9Pd2kvZYEj7zWv4u9hZzrPemiozxqR3o9Zg+APY6aKD2Ef5M9atNlvXCHxjzrGzW9GEqzPHwfRL1JzbE96Cmavemdqb1a89G8nlJ0PYNp6LyI+4A9TZVzvcY53D0NrQm9r0a/PE1Gn70Yk5U9dFRRvN5omD1os5A94DUsvfuUrr1GzUg8CYzMPeWWIb351ic9sc4FvFFbezzoKOC8r10uPSYZ2r2oyto9bGy4PHMhtj36MQq+W4ROO+msxjtpESK9RAtbvTof3Lxvo0e9Gj2+PExn4zvHejq949F1PV59D70X3tw9jfUDPWztuTyX2bW9xjKXvTkSVb3b+ry9n4KQvff6WD2Jg6U9RRETPgXhurwe7IO9/iiRvaMOfj39sRM9RbnBPbbt8jyN7o087JfCPevDjT39y129sqPwvacH1zxhps+9Da4RPQtrh71s2iU7CzVlPfYCRTvtuHS9TpYVOw7ljD3T8DO8Nw4jvZjqHT2WPvU9LwW4vY/mIj32eLw9tnUGvg==
food:101230:normal,food:101230:normal,泡泡桔,食物,泡泡桔,0,,,食物,6,sIwCPkAYO736QG09z2UMvjI2eD1pYC25R3t9vZYkDz3WAVC9Co3cvY2ICb1pRJy9RY8bPdrsJDqkZgs9+tIjvskaHD1PCuw9AFBLPG2qDj2C5ys9q/IsvT8qE7zzD568IewgvjJcb73mDna8/voDvkNHGT1157287tqVvARhKjyTWaS8RXsQvQN35b3rtpq82mruveNWabxC+oQ7t7SJPRV1Wj2IacK8IBxAvO8GFD4zIlu9s5JhPYJJxTwhz5u9ZyqaPd81LzwwMOI9l6HsPNtEML2ZQv08rkc3PQLBDr5wvAG+UmKoPRJScL1vQnk9ox/BPEso6bwUvJU8qv4avT6mtLyigTw9waE1PGfgVD1b16s9LyIpvcSs7L1db6o8wKWcPEg4I73zNqM7Qb7ePNFacbyvpQ49qfNZPayPlL3j5Mk89a8VPbGVwbu9jCW91KtovKcDlT3qz3G8Dv+Xvc7PbrvlDbC8wWM/vaZxJD1Hswo+0IgsvQbqDr2hWuw9I/wJPX3roroz2By9trzBPOJcyTygpLq9ZkGwPPgX2r1M2S49qZCzvEIW1DyK2PY92F3ZPbJeib1K+wU91MqKPGJbtL2qGNw9eFsDvJIXCb2FCb88cfyZvDijib1pu6e6rD5xvfzglT18TCA80k6LvaJ+3rx2gMg8awLHPAaj17vh3Uk7qrKwvZU/rL0cQnk9bopYPXDglzxom6W8ctzdPPm3Ir0f6wA9j4okvXgiHrqvjOY8uGa+PNGpebzFfwC+X9szPcaQvz2R1Ki9hEj9PPpVgLxJBQq9/r47O9yauTx0HMM9KiOFvVPUwzxVJUO9ge5lPYMylry0Vm47niaMvTA237yRdRk8mSe/Pdrtxz3nNOE99o4RvaQLxTsGKuI8ft2uPfBMybm1tTi9vdK+vRO8NLzIFII8s3XTPcr3UD0t2xk+tvQXPZHGEL0bqxG+tVwTPPjgdz0dBCw8tGK6Pc4AhT1rYf+9xPBxvcs9xLzXdoC9NlUlPTmNar1zDB09jDfkvRxo3L3Ys7m7LMNZvdm/hbzRbZ092VjgOn+65jtdBp693lVIvP4xGj0D7/G8JRaIvWcel7pnhPQ8vT4evXaZNL1Y3OM8XyfbOul9MD0DqxW9jZYivSkIND0eTYw9UhE0PDPrjbxdtfQ9u4JdPdhqpT3dFR89084ivRtuED06Fcu6IL3zvVKxCL2imoM8FwQaOhrSUb3cvtW8My4XvQ3/Db3kqhg+VOoXPQibPDwI3sM9LiimPUnrLj3sUyY8QA3ru8PypLzh/7Q8FbnBvP/W7byhZog8SmS4PUknP722ycG9L1vKPWMRAz5qCui9G8aVPQo1eTpJsSg+6vY/PQ==
